authors,article.title,source.title,publication.year,host.genus,host.species,virus.subfamily,virus.genus,virus.species,sero.positive,PCR.positive,isolation.positive,sample.size,notes,sample.size.notes
"Baker, KS; Todd, S; Marsh, G; Fernandez-Loras, A; Suu-Ire, R; Wood, JLN; Wang, LF; Murcia, PR; Cunningham, AA",Co-circulation of diverse paramyxoviruses in an urban African fruit bat population,JOURNAL OF GENERAL VIROLOGY,2012,eidolon,helvum,NA,NA,NA,NA,1,NA,pool,,
"Boardman, WSJ; Baker, ML; Boyd, V; Crameri, G; Peck, GR; Reardon, T; Smith, IG; Caraguel, CGB; Prowse, TAA","Seroprevalence of three paramyxoviruses; Hendra virus, Tioman virus, Cedar virus and a rhabdovirus, Australian bat lyssavirus, in a range expanding fruit bat, the Grey-headed flying fox (Pteropus poliocephalus)",PLOS ONE,2020,pteropus,poliocephalus,orthoparamyxovirinae,henipavirus,hendra virus,1,NA,NA,297,,
"Boardman, WSJ; Baker, ML; Boyd, V; Crameri, G; Peck, GR; Reardon, T; Smith, IG; Caraguel, CGB; Prowse, TAA","Seroprevalence of three paramyxoviruses; Hendra virus, Tioman virus, Cedar virus and a rhabdovirus, Australian bat lyssavirus, in a range expanding fruit bat, the Grey-headed flying fox (Pteropus poliocephalus)",PLOS ONE,2020,pteropus,poliocephalus,orthoparamyxovirinae,henipavirus,cedar virus,1,NA,NA,NA,sample size listed for hendra,
"Boardman, WSJ; Baker, ML; Boyd, V; Crameri, G; Peck, GR; Reardon, T; Smith, IG; Caraguel, CGB; Prowse, TAA","Seroprevalence of three paramyxoviruses; Hendra virus, Tioman virus, Cedar virus and a rhabdovirus, Australian bat lyssavirus, in a range expanding fruit bat, the Grey-headed flying fox (Pteropus poliocephalus)",PLOS ONE,2020,pteropus,poliocephalus,rubulavirinae,pararubulavirus,tioman virus,1,NA,NA,297,,subtract from total
"Baker, KS; Tachedjian, M; Barr, J; Marsh, GA; Todd, S; Crameri, G; Crameri, S; Smith, I; Holmes, CEG; Suu-Ire, R; Fernandez-Loras, A; Cunningham, AA; Wood, JLN; Wang, LF",Achimota Pararubulavirus 3: A New Bat-Derived Paramyxovirus of the Genus Pararubulavirus,VIRUSES-BASEL,2020,eidolon,helvum,rubulavirinae,pararubulavirus,achimota virus 3,NA,1,1,pool,,
"Mishra, N; Fagbo, SF; Alagaili, AN; Nitido, A; Williams, SH; Ng, J; Lee, B; Durosinlorun, A; Garcia, JA; Jain, K; Kapoor, V; Epstein, JH; Briese, T; Memish, ZA; Olival, KJ; Lipkin, WI",A viral metagenomic survey identifies known and novel mammalian viruses in bats from Saudi Arabia,PLOS ONE,2019,eidolon,helvum,NA,NA,NA,NA,0,NA,24,,
"Mishra, N; Fagbo, SF; Alagaili, AN; Nitido, A; Williams, SH; Ng, J; Lee, B; Durosinlorun, A; Garcia, JA; Jain, K; Kapoor, V; Epstein, JH; Briese, T; Memish, ZA; Olival, KJ; Lipkin, WI",A viral metagenomic survey identifies known and novel mammalian viruses in bats from Saudi Arabia,PLOS ONE,2019,rousettus,aegyptiacus,NA,NA,NA,NA,0,NA,2,,
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,pteropus,alecto,orthoparamyxovirinae,henipavirus,hendra virus,1,NA,NA,1,,
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,pteropus,alecto,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,NA,sample size listed for hendra,
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,pteropus,alecto,rubulavirinae,pararubulavirus,tioman virus,0,NA,NA,1,,subtract from total
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,pteropus,alecto,rubulavirinae,pararubulavirus,menangle virus,1,NA,NA,NA,sample size listed for tioman,
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,pteropus,conspicillatus,orthoparamyxovirinae,henipavirus,hendra virus,1,NA,NA,54,,
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,pteropus,conspicillatus,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,NA,sample size listed for hendra,
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,pteropus,conspicillatus,rubulavirinae,pararubulavirus,tioman virus,1,NA,NA,54,,subtract from total
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,pteropus,conspicillatus,rubulavirinae,pararubulavirus,menangle virus,1,NA,NA,NA,sample size listed for tioman,
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,dobsonia,magna,orthoparamyxovirinae,henipavirus,hendra virus,0,NA,NA,11,,
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,dobsonia,magna,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,NA,sample size listed for hendra,
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,dobsonia,magna,rubulavirinae,pararubulavirus,tioman virus,0,NA,NA,11,,subtract from total
"Breed, AC; Yu, M; Barr, JA; Crameri, G; Thalmann, CM; Wang, LF","Prevalence of Henipavirus and Rubulavirus Antibodies in Pteropid Bats, Papua New Guinea",EMERGING INFECTIOUS DISEASES,2010,dobsonia,magna,rubulavirinae,pararubulavirus,menangle virus,1,NA,NA,NA,sample size listed for tioman,
"Yadav, PD; Shete, AM; Kumar, GA; Sarkale, P; Sahay, RR; Radhakrishnan, C; Lakra, R; Pardeshi, P; Gupta, N; Gangakhedkar, RR; Rajendran, VR; Sadanandan, R; Mourya, DT","Nipah Virus Sequences from Humans and Bats during Nipah Outbreak, Kerala, India, 2018",EMERGING INFECTIOUS DISEASES,2019,pteropus,medius,orthoparamyxovirinae,henipavirus,nipah virus,NA,1,NA,52,,
"Yadav, PD; Shete, AM; Kumar, GA; Sarkale, P; Sahay, RR; Radhakrishnan, C; Lakra, R; Pardeshi, P; Gupta, N; Gangakhedkar, RR; Rajendran, VR; Sadanandan, R; Mourya, DT","Nipah Virus Sequences from Humans and Bats during Nipah Outbreak, Kerala, India, 2018",EMERGING INFECTIOUS DISEASES,2019,rousettus,leschenaultii,orthoparamyxovirinae,henipavirus,nipah virus,NA,0,NA,12,,
"Wacharapluesadee, S; Ghai, S; Duengkae, P; Manee-Orn, P; Thanapongtharm, W; Saraya, AW; Yingsakmongkon, S; Joyjinda, Y; Suradhat, S; Ampoot, W; Nuansrichay, B; Kaewpom, T; Tantilertcharoen, R; Rodpan, A; Wongsathapornchai, K; Ponpinit, T; Buathong, R; Bunprakob, S; Damrongwatanapokin, S; Ruchiseesarod, C; Petcharat, S; Kalpravidh, W; Olival, KJ; Stokes, MM; Hemachudha, T",Two decades of one health surveillance of Nipah virus in Thailand,ONE HEALTH OUTLOOK,2021,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,1,1,NA,374,additional pooled samples,
"Pernet, O; Schneider, BS; Beaty, SM; LeBreton, M; Yun, TE; Park, A; Zachariah, TT; Bowden, TA; Hitchens, P; Ramirez, CM; Daszak, P; Mazet, J; Freiberg, AN; Wolfe, ND; Lee, B",Evidence for henipavirus spillover into human populations in Africa,NATURE COMMUNICATIONS,2014,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,44,,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",JOURNAL OF VIROLOGY,2022,eidolon,dupreanum,orthoparamyxovirinae,henipavirus,angavokely virus,NA,1,NA,106,,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",JOURNAL OF VIROLOGY,2022,pteropus,rufus,orthoparamyxovirinae,henipavirus,NA,NA,0,NA,95,,
"Madera, S; Kistler, A; Ranaivoson, HC; Ahyong, V; Andrianiaina, A; Andry, S; Raharinosy, V; Randriambolamanantsoa, TH; Ravelomanantsoa, NAF; Tato, CM; DeRisi, JL; Aguilar, HC; Lacoste, V; Dussart, P; Heraud, JM; Brook, CE","Discovery and Genomic Characterization of a Novel Henipavirus, Angavokely Virus, from Fruit Bats in Madagascar",JOURNAL OF VIROLOGY,2022,rousettus,madagascariensis,orthoparamyxovirinae,henipavirus,NA,NA,0,NA,5,,
"Johara, MY; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,EMERGING INFECTIOUS DISEASES,2001,cynopterus,brachyotis,orthoparamyxovirinae,henipavirus,nipah virus,1,0,NA,56,,
"Johara, MY; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,EMERGING INFECTIOUS DISEASES,2001,eonycteris,spelaea,orthoparamyxovirinae,henipavirus,nipah virus,1,0,NA,38,,
"Johara, MY; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,EMERGING INFECTIOUS DISEASES,2001,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,1,0,NA,35,,
"Johara, MY; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,EMERGING INFECTIOUS DISEASES,2001,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,1,0,NA,29,,
"Johara, MY; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,EMERGING INFECTIOUS DISEASES,2001,cynopterus,horsfieldii,orthoparamyxovirinae,henipavirus,nipah virus,0,0,NA,24,,
"Johara, MY; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,EMERGING INFECTIOUS DISEASES,2001,balionycteris,maculata,orthoparamyxovirinae,henipavirus,nipah virus,0,0,NA,4,,
"Johara, MY; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,EMERGING INFECTIOUS DISEASES,2001,macroglossus,sobrinus,orthoparamyxovirinae,henipavirus,nipah virus,0,0,NA,4,,
"Johara, MY; Field, H; Rashdi, AM; Morrissy, C; van der Heide, B; Rota, P; bin Adzhar, A; White, J; Daniels, P; Jamaluddin, A; Ksiazek, T",Nipah virus infection in bats (order Chiroptera) in peninsular Malaysia,EMERGING INFECTIOUS DISEASES,2001,megaerops,ecaudatus,orthoparamyxovirinae,henipavirus,nipah virus,0,0,NA,1,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,acerodon,celebensis,NA,NA,NA,NA,0,NA,12,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,acerodon,mackloti,NA,NA,NA,NA,0,NA,2,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,chironax,melanocephalus,NA,NA,NA,NA,0,NA,1,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,cynopterus,sp.,NA,NA,NA,NA,0,NA,5,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,dobsonia,peronii,NA,NA,NA,NA,0,NA,1,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,dobsonia,moluccensis,NA,NA,NA,NA,0,NA,1,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,dobsonia,sp.,NA,NA,NA,NA,0,NA,2,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,dobsonia,viridis,NA,NA,NA,NA,0,NA,3,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,eonycteris,spelaea,NA,NA,NA,NA,0,NA,2,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,macroglossus,minimus,NA,NA,NA,NA,0,NA,3,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,nyctimene,sp.,NA,NA,NA,NA,0,NA,6,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,pteropus,alecto,NA,NA,NA,NA,0,NA,16,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,pteropus,chrysoproctus,NA,NA,NA,NA,0,NA,4,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,pteropus,hypomelanus,NA,NA,NA,NA,0,NA,6,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,pteropus,lombocensis,NA,NA,NA,NA,0,NA,1,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,pteropus,ocularis,NA,NA,NA,NA,0,NA,1,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,pteropus,temminckii,NA,NA,NA,NA,0,NA,3,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,pteropus,vampyrus,rubulavirinae,pararubulavirus,tioman virus,NA,1,NA,14,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,rousettus,amplexicaudatus,NA,NA,NA,NA,0,NA,2,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,rousettus,celebensis,NA,NA,NA,NA,0,NA,1,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,rousettus,linduensis,NA,NA,NA,NA,0,NA,1,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,rousettus,sp.,NA,NA,NA,NA,0,NA,4,,
"Tsang, SM; Low, DHW; Wiantoro, S; Smith, I; Jayakumar, J; Simmons, NB; Vijaykrishna, D; Lohman, DJ; Mendenhall, IH","Detection of Tioman Virus in Pteropus vampyrus Near Flores, Indonesia",VIRUSES-BASEL,2021,syconycteris,australis,NA,NA,NA,NA,0,NA,4,,
"Peel, AJ; Baker, KS; Hayman, DTS; Suu-Ire, R; Breed, AC; Gembu, GC; Lembo, T; Fernandez-Loras, A; Sargan, DR; Fooks, AR; Cunningham, AA; Wood, JLN","Bat trait, genetic and pathogen data from large-scale investigations of African fruit bats, Eidolon helvum",SCIENTIFIC DATA,2016,eidolon,helvum,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,NA,2827,,
"Reynes, JM; Counor, D; Ong, S; Faure, C; Seng, V; Molia, S; Walston, J; Georges-Courbot, MC; Deubel, V; Sarthou, JL","Nipah virus in lyle's flying foxes, Cambodia",EMERGING INFECTIOUS DISEASES,2005,cynopterus,brachyotis,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,NA,1,,
"Reynes, JM; Counor, D; Ong, S; Faure, C; Seng, V; Molia, S; Walston, J; Georges-Courbot, MC; Deubel, V; Sarthou, JL","Nipah virus in lyle's flying foxes, Cambodia",EMERGING INFECTIOUS DISEASES,2005,cynopterus,sphinx,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,NA,68,,
"Reynes, JM; Counor, D; Ong, S; Faure, C; Seng, V; Molia, S; Walston, J; Georges-Courbot, MC; Deubel, V; Sarthou, JL","Nipah virus in lyle's flying foxes, Cambodia",EMERGING INFECTIOUS DISEASES,2005,macroglossus,sobrinus,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,NA,1,,
"Reynes, JM; Counor, D; Ong, S; Faure, C; Seng, V; Molia, S; Walston, J; Georges-Courbot, MC; Deubel, V; Sarthou, JL","Nipah virus in lyle's flying foxes, Cambodia",EMERGING INFECTIOUS DISEASES,2005,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,1,NA,1,458,additional pooled samples,
"Reynes, JM; Counor, D; Ong, S; Faure, C; Seng, V; Molia, S; Walston, J; Georges-Courbot, MC; Deubel, V; Sarthou, JL","Nipah virus in lyle's flying foxes, Cambodia",EMERGING INFECTIOUS DISEASES,2005,rousettus,leschenaultii,orthoparamyxovirinae,henipavirus,nipah virus,0,NA,NA,15,,
"Barr, J; Smith, C; Smith, I; de Jong, C; Todd, S; Melville, D; Broos, A; Crameri, S; Haining, J; Marsh, G; Crameri, G; Field, H; Wang, LF",Isolation of multiple novel paramyxoviruses from pteropid bat urine,JOURNAL OF GENERAL VIROLOGY,2015,pteropus,NA,orthoparamyxovirinae,henipavirus,hendra virus,NA,1,1,pool,,
"Barr, J; Smith, C; Smith, I; de Jong, C; Todd, S; Melville, D; Broos, A; Crameri, S; Haining, J; Marsh, G; Crameri, G; Field, H; Wang, LF",Isolation of multiple novel paramyxoviruses from pteropid bat urine,JOURNAL OF GENERAL VIROLOGY,2015,pteropus,NA,orthoparamyxovirinae,henipavirus,cedar virus,NA,1,1,pool,,
"Barr, J; Smith, C; Smith, I; de Jong, C; Todd, S; Melville, D; Broos, A; Crameri, S; Haining, J; Marsh, G; Crameri, G; Field, H; Wang, LF",Isolation of multiple novel paramyxoviruses from pteropid bat urine,JOURNAL OF GENERAL VIROLOGY,2015,pteropus,NA,rubulavirinae,pararubulavirus,menangle virus,NA,1,1,pool,,
"Barr, J; Smith, C; Smith, I; de Jong, C; Todd, S; Melville, D; Broos, A; Crameri, S; Haining, J; Marsh, G; Crameri, G; Field, H; Wang, LF",Isolation of multiple novel paramyxoviruses from pteropid bat urine,JOURNAL OF GENERAL VIROLOGY,2015,pteropus,NA,rubulavirinae,pararubulavirus,hervey virus,NA,1,1,pool,,
"Barr, J; Smith, C; Smith, I; de Jong, C; Todd, S; Melville, D; Broos, A; Crameri, S; Haining, J; Marsh, G; Crameri, G; Field, H; Wang, LF",Isolation of multiple novel paramyxoviruses from pteropid bat urine,JOURNAL OF GENERAL VIROLOGY,2015,pteropus,NA,rubulavirinae,pararubulavirus,grove virus,NA,1,1,pool,,
"Barr, J; Smith, C; Smith, I; de Jong, C; Todd, S; Melville, D; Broos, A; Crameri, S; Haining, J; Marsh, G; Crameri, G; Field, H; Wang, LF",Isolation of multiple novel paramyxoviruses from pteropid bat urine,JOURNAL OF GENERAL VIROLOGY,2015,pteropus,NA,rubulavirinae,pararubulavirus,teviot virus,NA,1,1,pool,,
"Barr, J; Smith, C; Smith, I; de Jong, C; Todd, S; Melville, D; Broos, A; Crameri, S; Haining, J; Marsh, G; Crameri, G; Field, H; Wang, LF",Isolation of multiple novel paramyxoviruses from pteropid bat urine,JOURNAL OF GENERAL VIROLOGY,2015,pteropus,NA,rubulavirinae,pararubulavirus,yeppoon virus,NA,1,1,pool,,
"Jolma, ER; Gibson, L; Suu-Ire, RD; Fleischer, G; Asumah, S; Languon, S; Restif, O; Wood, JLN; Cunningham, AA",Longitudinal Secretion of Paramyxovirus RNA in the Urine of Straw-Coloured Fruit Bats (Eidolon helvum),VIRUSES-BASEL,2021,eidolon,helvum,rubulavirinae,pararubulavirus,NA,NA,1,NA,pool,154 (captive colony),
"Jolma, ER; Gibson, L; Suu-Ire, RD; Fleischer, G; Asumah, S; Languon, S; Restif, O; Wood, JLN; Cunningham, AA",Longitudinal Secretion of Paramyxovirus RNA in the Urine of Straw-Coloured Fruit Bats (Eidolon helvum),VIRUSES-BASEL,2021,eidolon,helvum,rubulavirinae,orthorubulavirus,NA,NA,1,NA,pool,154 (captive colony),
"Jolma, ER; Gibson, L; Suu-Ire, RD; Fleischer, G; Asumah, S; Languon, S; Restif, O; Wood, JLN; Cunningham, AA",Longitudinal Secretion of Paramyxovirus RNA in the Urine of Straw-Coloured Fruit Bats (Eidolon helvum),VIRUSES-BASEL,2021,eidolon,helvum,orthoparamyxovirinae,NA,NA,NA,1,NA,pool,154 (captive colony),
"McEvoy, JF; Kishbaugh, JC; Valitutto, MT; Aung, O; Tun, KYN; Win, YT; Maw, MT; Thein, WZ; Win, HH; Chit, AM; Vodzak, ME; Murray, S",Movements of Indian Flying Fox in Myanmar as a Guide to Human-Bat Interface Sites,ECOHEALTH,2021,pteropus,giganteus,NA,NA,NA,NA,0,NA,29,,
"Plowright, RK; Field, HE; Smith, C; Divljan, A; Palmer, C; Tabor, G; Daszak, P; Foley, JE",Reproduction and nutritional stress are risk factors for Hendra virus infection in little red flying foxes (Pteropus scapulatus),PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2008,pteropus,scapulatus,orthoparamyxovirinae,henipavirus,hendra virus,1,NA,NA,664,longitudinal,
"Cappelle, J; Hoem, T; Hul, V; Furey, N; Nguon, K; Prigent, S; Dupon, L; Ken, S; Neung, C; Hok, V; Pring, L; Lim, T; Bumrungsri, S; Duboz, R; Buchy, P; Ly, S; Duong, V; Tarantola, A; Binot, A; Dussart, P","Nipah virus circulation at human-bat interfaces, Cambodia",BULLETIN OF THE WORLD HEALTH ORGANIZATION,2020,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,NA,1,NA,pool,,
